"Scenario","Africa","East Asia","Eastern Europe and Central Asia","Latin America","North America","Oceania","South Asia","Western and Central Europe","Western Asia"
"Business As Usual",1282,14414,1000,3810,4532,940,4945,1374,668
"Business As Usual",1115,14685,1116,4800,5451,1028,8248,1802,771
"Business As Usual",1442,16053,959,5204,4718,867,7448,1588,761
"Business As Usual",1447,13622,1012,4109,4311,973,8112,1371,670
"Business As Usual",1470,14431,1031,4847,4777,798,7091,1817,837
"Business As Usual",1087,13205,1054,4940,4564,747,7253,1571,821
"Business As Usual",1494,13291,1020,3899,4634,835,6607,1561,852
"Business As Usual",1084,14099,859,4163,4610,947,7742,1610,782
"Business As Usual",1336,13667,953,5275,4124,1297,7449,1549,691
"Business As Usual",1246,14040,1114,3816,4787,1084,7102,1595,727
"Business As Usual",1371,13553,932,4085,4282,1163,6906,1590,641
"Business As Usual",1186,14328,1004,4926,4467,746,8475,1714,644
"Business As Usual",1028,15892,1040,5504,4323,954,7694,1507,707
"Business As Usual",1244,13791,1072,4730,4968,934,6964,1492,801
"Business As Usual",1020,16503,1111,4110,4294,968,7461,1636,699
"Business As Usual",1218,17693,1071,3978,4528,1226,7382,1571,731
"Business As Usual",1198,15462,917,3596,5026,1076,6592,1497,786
"Business As Usual",1078,14223,1020,4571,4632,780,7102,1295,725
"Business As Usual",1261,14525,1027,4214,4189,874,7805,1606,616
"Business As Usual",1333,16621,910,4332,4286,658,7412,1596,769
"Business As Usual",1227,15679,986,4309,3882,784,6848,1224,785
"Business As Usual",1031,13965,1016,4578,4376,948,8281,1654,715
"Business As Usual",1216,15136,990,4496,4532,1017,6787,1733,688
"Business As Usual",1198,13708,978,4357,4484,1041,6755,1524,537
"Business As Usual",1054,15475,1022,5201,4439,828,7539,1401,699
"Business As Usual",1266,13919,970,3920,4714,774,8321,1429,684
"Business As Usual",1139,12953,1094,3635,4126,719,7605,1491,701
"Business As Usual",1650,14958,960,4141,4820,830,7628,1464,688
"Business As Usual",1313,11096,997,4497,4621,886,7243,1700,634
"Business As Usual",1011,13468,997,4659,4589,874,6545,1495,738
"Business As Usual",892,14433,920,3822,4534,688,7900,1704,662
"Business As Usual",1239,14769,1023,4296,4775,782,7333,1871,624
"Business As Usual",1491,14155,951,4813,3501,1066,7710,1998,677
"Business As Usual",1085,15708,1043,4792,3975,742,6559,1277,657
"Business As Usual",1567,14474,1003,4774,4483,874,6956,1738,637
"Business As Usual",1417,12500,1001,5573,3996,843,6896,1662,659
"Business As Usual",1335,12706,1018,4475,4540,736,7823,1737,541
"Business As Usual",1319,15223,936,3823,4346,939,8068,1323,583
"Business As Usual",1287,14961,1006,5157,4869,1103,7685,1525,639
"Business As Usual",1143,15428,1027,4824,3607,1156,7416,1739,918
"Business As Usual",1416,16040,1067,4669,4659,930,7122,1573,607
"Business As Usual",1057,14360,932,4710,4310,812,7028,1294,730
"Business As Usual",1542,14023,1023,4363,4208,943,6550,1488,813
"Business As Usual",1422,15633,1052,4743,4434,735,6632,1193,634
"Business As Usual",1318,14221,1006,4646,3915,949,7762,1797,677
"Business As Usual",1388,14625,951,4895,3893,1062,6789,1395,680
"Business As Usual",1254,14535,988,4437,4521,1113,6239,1441,821
"Business As Usual",1274,15871,991,4465,3909,1065,7326,1566,743
"Business As Usual",1206,13955,1031,3742,4640,851,6702,1426,478
"Business As Usual",1176,14529,911,4977,4203,766,7511,1592,810
"Business As Usual",910,15178,943,4262,4203,985,6955,1809,744
"Business As Usual",1401,12979,970,5121,4504,933,7784,1341,1011
"Business As Usual",1277,14743,1067,3972,5335,1062,7484,1326,680
"Business As Usual",1261,16223,1038,4423,5101,1125,7640,1613,694
"Business As Usual",1138,12982,945,4212,4311,1055,8686,1590,640
"Business As Usual",1595,13169,936,5158,4772,603,5555,1598,715
"Business As Usual",1214,16168,966,4242,4698,753,6485,1537,718
"Business As Usual",1289,14525,1042,5130,4880,968,6179,1538,844
"Business As Usual",1335,14493,1012,5469,3960,838,7488,1600,838
"Business As Usual",1116,14641,1109,4990,4312,987,7535,1752,637
"Business As Usual",1262,15633,995,3690,4819,1069,6731,1538,574
"Business As Usual",1208,14099,968,4772,4714,1008,7275,1539,718
"Business As Usual",1480,13587,980,4437,3986,950,7409,1638,643
"Business As Usual",1444,14802,1042,4739,4704,981,6986,1758,687
"Business As Usual",1322,16202,864,4090,4842,737,6767,1547,766
"Business As Usual",1310,14803,1000,5095,4797,937,5980,1612,636
"Business As Usual",1098,14967,1030,5072,4516,713,6084,1477,736
"Business As Usual",1108,13883,1053,4363,4383,826,8274,1304,793
"Business As Usual",1089,15654,1024,4376,4320,1086,8144,1349,813
"Business As Usual",1288,12401,989,4218,5158,809,8669,1831,703
"Business As Usual",1463,15299,937,5284,4247,816,8526,1695,628
"Business As Usual",1551,15594,1087,4311,4168,1027,6024,1328,678
"Business As Usual",1317,15274,1010,4498,4763,1163,6154,1594,675
"Business As Usual",1418,14129,1031,4908,4164,1159,8745,1901,499
"Business As Usual",1572,16002,939,4158,4976,1065,6605,1666,746
"Business As Usual",1105,11722,1013,5308,4553,997,7227,1758,717
"Business As Usual",1411,15020,1057,4665,4224,856,6975,1613,648
"Business As Usual",1368,15097,1007,4247,4699,863,7675,1596,742
"Business As Usual",1357,14619,1004,4310,4868,1043,8556,1627,642
"Business As Usual",982,15139,985,3969,4224,917,7045,1721,783
"Business As Usual",1156,15187,991,3364,4873,858,5866,1602,630
"Business As Usual",1418,13539,987,4666,4573,861,7748,1885,739
"Business As Usual",1141,16751,915,4259,5216,868,7994,1469,909
"Business As Usual",1305,12004,1007,4499,4656,807,7304,1523,861
"Business As Usual",1362,15837,994,4706,4734,955,8373,1357,753
"Business As Usual",1130,13668,972,4181,4644,1063,5868,1823,687
"Business As Usual",1232,15253,968,4890,4722,911,8496,1511,778
"Business As Usual",1432,12273,1057,4152,5239,1119,6102,1721,735
"Business As Usual",1146,14731,1106,3955,4412,1083,7732,1490,564
"Business As Usual",1369,15704,1115,4292,4960,809,7785,1615,765
"Business As Usual",1443,14850,1057,4554,3709,976,8870,1609,818
"Business As Usual",1204,14726,991,4430,4843,799,7997,1448,794
"Business As Usual",1182,13780,1050,4318,4602,799,7785,1890,708
"Business As Usual",1679,12899,1025,4895,5345,881,7928,1809,677
"Business As Usual",1148,15541,1030,4928,4323,1017,7256,1187,751
"Business As Usual",1063,15236,918,3901,4540,916,6871,1385,556
"Business As Usual",1345,15964,1030,3582,4610,895,7148,1404,919
"Business As Usual",1321,15160,1086,5117,4469,925,6843,1382,759
"Business As Usual",1020,17919,1080,4129,4688,881,8659,1869,853
"Business As Usual",1125,14674,929,5614,4536,971,8336,1745,588
"Business As Usual",1266,13642,1046,4390,3840,821,8557,1417,737
"Business As Usual",1145,15036,1033,4037,4139,846,5706,1694,551
"Business As Usual",1004,16309,976,4622,3896,910,7297,1558,734
"Business As Usual",1096,12727,975,4044,4377,846,6774,1855,646
"Business As Usual",1120,14985,1037,4188,4188,816,6088,1804,930
"Business As Usual",1373,16066,1076,4994,5187,819,6473,1650,727
"Business As Usual",1358,16060,946,4279,3708,923,6165,1631,673
"Business As Usual",1044,16450,1015,5198,5216,1029,7486,1864,589
"Business As Usual",1262,15843,884,4284,4721,965,6995,1607,568
"Business As Usual",1338,13766,935,5422,4362,830,7439,1645,690
"Business As Usual",1500,14647,987,5342,4803,961,7652,1587,844
"Business As Usual",1157,12567,943,4480,3967,740,7511,1546,724
"Business As Usual",1175,13330,1004,4388,4242,975,7098,1328,788
"Business As Usual",1174,15880,973,5432,4079,673,8384,1550,610
"Business As Usual",1225,14814,990,5328,4074,954,6622,1703,719
"Business As Usual",1587,14668,991,4506,4457,1250,6457,1445,709
"Business As Usual",1297,14962,939,4707,5494,1103,8840,1672,705
"Business As Usual",1316,15470,1046,4398,3995,981,7414,1407,639
"Business As Usual",1376,14203,967,4727,3646,951,7308,1657,730
"Business As Usual",1377,13531,942,4031,4262,957,7493,1174,560
"Business As Usual",973,13051,1084,3968,3901,874,5945,1483,698
"Business As Usual",1508,13621,945,5073,4704,723,8010,1447,795
"Business As Usual",1218,13445,990,4489,4208,980,6534,1944,597
"Business As Usual",1441,15207,1058,4861,5015,808,8504,1750,649
"Business As Usual",1315,14611,954,5390,4379,1125,7897,1807,594
"Business As Usual",879,15569,968,4557,5067,1003,7996,1521,661
"Business As Usual",1378,12749,905,4426,4366,907,6870,1749,569
"Business As Usual",1323,12702,1013,3842,5102,710,7254,1451,615
"Business As Usual",1107,17658,1019,4606,4364,945,7018,1410,780
"Business As Usual",1372,14443,967,4273,4280,731,5298,1640,714
"Business As Usual",1014,16344,1017,4893,4357,1142,7688,1581,830
"Business As Usual",1101,16392,1025,5587,4667,802,7069,1471,627
"Business As Usual",1250,15154,991,4191,3850,1026,7556,1577,577
"Business As Usual",1166,16362,988,3774,4826,887,7168,1452,797
"Business As Usual",1066,15001,1089,4933,4199,686,7675,1541,739
"Business As Usual",1105,14982,1002,4044,4161,998,7278,1395,665
"Business As Usual",1488,14946,1028,4760,4878,799,7776,1578,664
"Business As Usual",1451,13888,1041,4706,4299,732,5609,2018,854
"Business As Usual",1277,14962,1004,5480,4936,1084,7053,1694,690
"Business As Usual",1390,12985,1100,4358,4553,934,6959,1634,582
"Business As Usual",1111,12881,1057,4897,4810,859,8579,1677,878
"Business As Usual",1184,13849,906,3787,4897,837,8013,1694,789
"Business As Usual",1351,15626,1012,3945,4584,900,7869,1333,726
"Business As Usual",1347,13127,1070,4801,4246,745,6933,1621,889
"Business As Usual",1463,14882,942,4033,4626,685,6136,1589,647
"Business As Usual",1237,15130,932,4045,4073,599,6441,1674,625
"Business As Usual",1258,14269,962,5115,4561,1063,8084,1461,763
"Business As Usual",1300,14575,968,4820,5099,938,7837,1401,522
"Business As Usual",1351,13196,987,5117,4209,696,6802,1496,660
"Business As Usual",1300,15590,984,4256,4291,961,6256,1500,861
"Business As Usual",1298,15466,878,5125,4212,995,7651,1634,623
"Business As Usual",1075,13443,1009,3689,4722,727,7404,1572,576
"Business As Usual",1318,15876,1053,5173,4325,965,6040,1599,690
"Business As Usual",1063,15858,963,4892,4565,1049,7703,1452,623
"Business As Usual",1363,15849,1034,4178,4301,679,6785,1501,704
"Business As Usual",1201,15521,1047,3703,3861,831,6930,1933,780
"Business As Usual",1437,15338,1043,4685,4671,826,6768,1639,784
"Business As Usual",1140,16617,1059,4029,4393,847,8270,1465,789
"Business As Usual",1168,15428,1018,4783,4341,769,7234,1387,679
"Business As Usual",1119,15716,1091,4611,4599,1083,7959,1765,589
"Business As Usual",1348,15277,1017,4323,4399,799,8481,1214,807
"Business As Usual",1325,16877,998,4799,4387,869,7203,1471,758
"Business As Usual",1585,15305,1141,5012,4434,1044,6312,1589,675
"Business As Usual",927,15616,892,4357,4962,782,7110,1501,521
"Business As Usual",997,16338,928,4224,4524,861,7782,1477,645
"Business As Usual",1359,15008,1027,4675,4818,983,8838,1685,541
"Business As Usual",1143,12996,891,4781,4831,1169,9037,1482,530
"Business As Usual",955,14458,1036,4874,4606,976,8069,1634,834
"Business As Usual",1059,15806,1076,4796,4565,826,7173,1470,850
"Business As Usual",1246,14115,955,4370,4780,701,7350,1743,707
"Business As Usual",1314,14008,1013,4032,4474,1006,7795,1684,793
"Business As Usual",1186,13465,1063,3539,4005,1048,7186,1640,687
"Business As Usual",1214,15278,1020,5047,5231,1021,8506,1508,644
"Business As Usual",1223,15179,977,3919,4542,748,6522,1637,712
"Business As Usual",1255,15545,917,5180,4889,1012,7855,1421,667
"Business As Usual",1400,16278,1124,5231,4883,790,7700,1554,658
"Business As Usual",1475,16942,970,3896,4728,962,7521,1534,790
"Business As Usual",1085,15232,943,3899,4436,964,7095,1406,670
"Business As Usual",1091,15060,964,3744,4467,693,7898,1638,501
"Business As Usual",1443,14497,967,4187,5164,972,8432,1724,509
"Business As Usual",1134,14699,1057,3973,4678,796,7499,1709,688
"Business As Usual",1120,16214,1042,4923,5513,1040,9007,1463,613
"Business As Usual",1338,13957,916,4714,4437,722,7397,1399,669
"Business As Usual",1006,14860,1001,5162,5206,907,8316,1576,724
"Business As Usual",1390,14290,1036,4219,3890,732,7815,1422,912
"Business As Usual",1400,13697,1046,4594,4271,803,7528,1749,640
"Business As Usual",1403,11846,1010,4415,4450,772,7376,1602,700
"Business As Usual",1164,11277,1087,4812,4629,810,8853,1414,586
"Business As Usual",1210,13181,999,4224,3943,743,7471,1534,621
"Business As Usual",1357,15216,933,5254,4709,965,7234,1620,510
"Business As Usual",1105,13503,1038,4056,4055,800,7768,1518,671
"Business As Usual",1096,14903,1061,5437,3908,932,8315,1460,724
"Business As Usual",1293,13268,972,4157,3998,831,6775,1587,857
"Business As Usual",1143,13897,963,4625,4133,934,7156,1707,549
"Business As Usual",1160,15969,1006,3647,4443,915,7524,1399,703
"Business As Usual",1621,14617,1017,4551,3975,1155,6133,1749,766
"Business As Usual",1318,13827,1099,4148,3912,1007,6324,1629,654
"Business As Usual",1197,13125,1005,5117,4954,924,6966,1513,758
"Business As Usual",1208,12572,949,4203,4723,1126,6238,1556,781
"Business As Usual",954,14569,888,3590,4652,913,6710,1827,786
"Business As Usual",1052,13558,1015,4385,4074,1132,7964,1603,727
"Business As Usual",1099,13705,968,4638,4057,987,6271,1357,708
"Business As Usual",1622,13274,1030,4138,4744,961,7658,1409,718
"Business As Usual",1447,15161,1065,4000,4951,876,7540,1398,711
"Business As Usual",1222,16283,1016,4796,3875,935,8133,1531,810
"Business As Usual",1370,14042,1028,4005,4197,925,6484,1549,733
"Business As Usual",1377,15255,972,4541,4627,870,7930,1641,662
"Business As Usual",1337,16027,989,4407,4575,923,6963,1313,725
"Business As Usual",1051,12504,989,4401,4338,870,8231,1274,827
"Business As Usual",1497,13858,945,5393,4680,901,6127,1758,773
"Business As Usual",1228,14374,985,4934,4747,676,7522,1462,694
"Business As Usual",1173,13120,936,5285,3705,808,7053,1461,722
"Business As Usual",1459,15663,942,4370,4126,936,7331,1361,797
"Business As Usual",1282,12241,1012,4393,4313,714,7321,1556,649
"Business As Usual",1231,13496,984,3809,5208,927,7668,1481,574
"Business As Usual",1201,13885,1014,4512,4454,1000,6778,1516,648
"Business As Usual",1114,15241,988,4373,4145,991,8394,1435,749
"Business As Usual",1273,14186,978,4491,5053,618,7287,1771,701
"Business As Usual",1059,12993,1007,5073,4755,881,7916,1330,671
"Business As Usual",1124,15487,964,3871,4576,904,8368,1424,633
"Business As Usual",1252,15285,1009,3837,4258,958,7338,1603,688
"Business As Usual",1049,12816,948,4577,4606,634,6379,1443,707
"Business As Usual",1488,13497,992,4677,4133,990,7639,1567,912
"Business As Usual",1420,13674,1034,5086,5472,746,5918,1288,885
"Business As Usual",1371,13930,1040,4170,4468,870,7478,1347,662
"Business As Usual",1049,15243,941,4970,4729,851,6100,1709,655
"Business As Usual",1091,13942,989,4965,4739,1019,8057,1595,663
"Business As Usual",1066,15778,934,4056,4825,898,8145,1450,596
"Business As Usual",1604,16472,967,4254,3828,932,7280,1764,723
"Business As Usual",1298,13728,1060,5338,4797,667,6918,1730,788
"Business As Usual",1555,16083,1039,4903,4705,855,7860,1633,744
"Business As Usual",1190,15637,915,3890,4070,572,8347,1829,650
"Business As Usual",1194,14731,1002,4385,4202,831,6286,1636,817
"Business As Usual",1390,15456,937,4346,4572,1044,7558,1540,767
"Business As Usual",1109,15709,1001,4139,5068,892,7413,1850,850
"Business As Usual",1454,15740,1072,3745,4110,834,7678,1798,718
"Business As Usual",1155,13149,989,4606,4466,1098,7696,1532,800
"Business As Usual",1126,14027,1012,4440,4405,888,7049,1415,629
"Business As Usual",1367,16128,991,4839,4455,834,7565,1498,667
"Business As Usual",1443,15959,1047,4426,4097,763,7168,1480,707
"Business As Usual",1342,16218,1007,5355,4581,832,8109,1489,495
"Business As Usual",1256,16419,979,4598,4320,951,8333,1595,495
"Business As Usual",1100,16324,979,4690,3982,1078,7268,1785,741
"Business As Usual",1049,13290,988,4488,4265,846,7120,1782,704
"Business As Usual",1289,13622,993,4056,4677,1168,7675,1841,573
"Business As Usual",1056,13948,1006,4691,4231,1066,7278,1099,625
"Business As Usual",1254,13182,884,4034,4419,759,6804,1323,691
"Business As Usual",1061,16120,1064,4718,4938,728,6327,1417,524
"Business As Usual",1155,16320,1065,5323,4585,792,7412,1443,711
"Business As Usual",1246,13640,1009,5020,4461,1110,7701,1714,842
"Business As Usual",1443,15515,1026,4323,4338,787,7668,1630,616
"Business As Usual",1119,15188,905,4587,5613,895,6214,1544,742
"Business As Usual",1264,14914,1014,4558,4452,674,7979,1284,735
"Business As Usual",1631,14022,1096,5227,5119,1089,7041,1671,892
"Business As Usual",1439,15757,997,3471,5325,879,8265,1342,831
"Business As Usual",1623,14266,1116,3571,4240,989,7758,1423,625
"Business As Usual",968,15122,925,4680,3951,786,6455,1749,625
"Business As Usual",1157,13846,963,4732,4691,866,8496,1358,668
"Business As Usual",1380,15611,998,4905,4089,774,6006,1765,709
"Business As Usual",1411,15896,1012,4159,4600,1026,6622,1631,813
"Business As Usual",1266,13765,1003,4159,4703,599,6856,1662,697
"Business As Usual",1285,15618,1018,4391,4970,1014,7436,1656,610
"Business As Usual",1261,14324,924,3970,5157,939,6504,1752,697
"Business As Usual",1323,14876,974,3720,4827,995,6003,1896,699
"Business As Usual",849,16994,939,5562,4305,754,7449,1396,674
"Business As Usual",1161,13279,1026,3817,4328,1051,6063,1612,637
"Business As Usual",1078,15462,1013,4333,4656,1013,7605,1756,716
"Business As Usual",1356,14197,1078,4232,5133,848,8433,1321,717
"Business As Usual",1311,14999,923,4143,4157,883,5373,1492,692
"Business As Usual",1401,16446,998,5323,4049,905,8292,1565,698
"Business As Usual",1315,13328,987,4491,4668,826,8245,1688,720
"Business As Usual",1428,15699,1021,4450,3836,779,8566,1787,820
"Business As Usual",1132,15643,917,4587,4473,821,6332,1423,813
"Business As Usual",991,17807,1046,5173,4180,1093,6135,1598,789
"Business As Usual",1381,15526,1045,4505,4848,963,6440,1432,633
"Business As Usual",1116,13217,997,4505,3696,702,7043,1697,878
"Business As Usual",1459,13752,957,5019,4457,919,6282,1564,627
"Business As Usual",1695,12443,986,5132,4088,933,7201,1524,579
"Business As Usual",1076,15397,983,5383,4133,928,7754,1331,626
"Business As Usual",1429,14254,1073,4183,4456,1085,5888,1934,682
"Business As Usual",1091,16170,1073,4128,4396,790,8757,1517,734
"Business As Usual",1150,14779,961,4123,5074,871,7481,1542,892
"Business As Usual",1255,14668,1021,4157,3822,946,7182,1493,884
"Business As Usual",1380,15252,1069,4756,4846,940,8557,1707,634
"Business As Usual",1293,15533,1020,4693,4750,974,8871,1519,723
"Business As Usual",1284,14228,1052,4912,4406,898,6145,1455,613
"Business As Usual",1384,16054,1049,3772,4695,812,7830,1883,835
"Business As Usual",1550,14580,1049,4158,4655,1153,7600,1564,628
"Business As Usual",1233,14292,1020,4935,3776,777,7737,1597,642
"Business As Usual",1257,13357,977,4648,4694,731,7353,1735,728
"Business As Usual",1163,14067,967,4304,4700,893,7571,1422,897
"Business As Usual",1456,13569,1057,4699,4174,1119,7063,1403,603
"Business As Usual",1321,13654,934,4659,4274,900,6619,1598,844
"Business As Usual",1354,16700,955,4385,4293,939,6816,1624,709
"Business As Usual",1541,14255,905,4265,4637,850,7984,1401,785
"Business As Usual",1451,14850,856,4461,4930,875,7644,1574,622
"Business As Usual",1354,14398,965,3817,4425,846,7869,1516,711
"Business As Usual",1364,15481,1055,5140,4876,922,7202,1659,770
"Business As Usual",1276,14707,991,4675,4995,725,6913,1674,782
"Business As Usual",1092,12511,1016,4213,4770,1144,5625,1389,553
"Business As Usual",1090,15866,930,4749,4318,818,6469,1519,524
"Business As Usual",972,12863,1087,4773,4712,864,8875,1686,681
"Business As Usual",1367,13516,983,4865,4932,873,8314,1680,871
"Business As Usual",1464,12996,1017,4265,4187,936,6461,1435,830
"Business As Usual",1283,15039,1008,4333,5294,746,5082,1500,708
"Business As Usual",1154,13386,951,5199,4381,790,7963,1374,823
"Business As Usual",1362,15636,991,4117,4458,960,8572,1342,780
"Business As Usual",1087,14654,981,4804,4253,738,7068,1477,669
"Business As Usual",1158,15224,959,4429,5464,700,7288,1738,703
"Business As Usual",1077,14021,908,4046,4524,907,8092,1499,757
"Business As Usual",1360,14625,1041,5060,4821,979,6958,1653,585
"Business As Usual",1196,15565,1001,3612,4734,938,6788,1537,743
"Business As Usual",1171,14641,1038,4665,4681,865,6095,1719,826
"Business As Usual",1192,12699,933,4735,4586,935,7137,1489,592
"Business As Usual",926,15054,1055,4328,4806,715,8471,1598,787
"Business As Usual",1152,13539,925,4107,4846,980,7808,1487,695
"Business As Usual",1242,15265,1022,5167,4529,1049,7533,1655,694
"Business As Usual",1215,13338,1041,5303,5117,956,6661,1642,574
"Business As Usual",1443,15098,1030,4869,3849,1127,6853,1756,670
"Business As Usual",1425,13258,980,5055,4939,880,8488,1529,600
"Business As Usual",1298,15261,1075,4959,5036,735,6908,1508,573
"Business As Usual",1295,13973,960,3310,4902,920,7384,1491,680
"Business As Usual",1277,13257,1071,4183,4867,901,7505,1571,743
"Business As Usual",1279,13997,952,4789,4655,1189,7444,1731,635
"Business As Usual",1386,15167,1063,4373,4895,995,7114,1530,640
"Business As Usual",1190,16220,1016,4585,4338,937,7455,1862,913
"Business As Usual",1512,14172,1012,4392,3842,926,7251,1740,753
"Business As Usual",1088,14692,1058,4201,4274,1018,7756,1549,675
"Business As Usual",1072,16084,1045,4650,5389,828,7403,1352,741
"Business As Usual",1388,15495,929,5012,4410,911,7473,1772,663
"Business As Usual",1108,13904,1049,4291,3819,728,8576,1773,769
"Business As Usual",1441,14509,972,4414,4687,936,8653,1564,631
"Business As Usual",1384,14716,970,5007,4396,828,8024,1628,558
"Business As Usual",1604,11555,1006,4099,4266,1083,8479,1702,792
"Business As Usual",1136,15369,1104,3764,4805,823,6810,1584,848
"Business As Usual",1505,16773,1012,4723,4032,1022,6522,1452,678
"Business As Usual",1095,12777,1066,5100,4718,939,6443,1454,807
"Business As Usual",1440,17510,1016,4036,4610,1093,6331,1446,842
"Business As Usual",1287,14806,1067,4352,4809,744,7605,1499,728
"Business As Usual",1255,13199,949,4113,3501,921,7413,1304,756
"Business As Usual",1456,12990,916,4201,4277,1015,7159,1765,592
"Business As Usual",1040,13416,993,4704,4473,911,6879,1594,794
"Business As Usual",1440,13456,933,4854,5243,770,7670,1594,664
"Business As Usual",1345,14273,997,4174,4537,574,8280,1727,783
"Business As Usual",1277,14445,1046,3947,4360,1012,6926,1763,674
"Business As Usual",1309,13878,1016,3907,4327,990,7798,1508,581
"Business As Usual",1126,16576,974,3906,4584,1004,6333,1668,558
"Business As Usual",1315,14195,1028,4507,4395,868,7403,1530,802
"Business As Usual",1180,13659,1056,4893,4364,1111,7771,1646,667
"Business As Usual",1321,15034,945,4035,4252,1028,7742,1676,521
"Business As Usual",1169,14461,1027,4718,5542,845,6749,1398,582
"Business As Usual",1209,14653,917,4490,4271,925,6448,1500,560
"Business As Usual",1099,13511,949,4764,4842,1099,7457,1294,663
"Business As Usual",1313,12943,896,4397,4800,1124,7101,1389,613
"Business As Usual",1430,15208,851,3382,4467,1046,7767,1635,806
"Business As Usual",1261,15401,943,4319,4402,1043,7764,1557,606
"Business As Usual",1387,15551,1035,5166,4609,906,7378,1261,656
"Business As Usual",1103,15191,984,4946,3922,970,7736,1879,713
"Business As Usual",1176,14612,1040,4222,4624,1020,7492,1408,949
"Business As Usual",1357,14637,941,5270,4327,927,7711,1455,658
"Business As Usual",1433,13001,928,4325,4801,952,8393,1483,625
"Business As Usual",980,14581,961,4166,3996,1071,7797,1677,683
"Business As Usual",1246,12791,999,4635,4782,770,7431,1934,550
"Business As Usual",1081,13111,1089,5154,3714,797,7450,1564,464
"Business As Usual",1086,13368,902,4192,4611,887,6342,1645,671
"Business As Usual",1438,16199,1001,4796,4638,584,7670,1608,736
"Business As Usual",1193,16212,961,4476,4797,1007,6983,1442,581
"Business As Usual",1266,14469,1035,4324,4660,940,7426,1569,685
"Business As Usual",1368,12632,982,5042,4171,641,7200,1553,853
"Business As Usual",1318,14598,1013,5013,4846,989,6754,1667,567
"Business As Usual",1352,14632,928,4428,4904,1013,7954,1676,581
"Business As Usual",1205,16010,994,5479,5118,703,7796,1618,605
"Business As Usual",1406,13635,1006,4742,4393,1021,6743,1496,690
"Business As Usual",1272,15158,1047,5227,4697,999,5363,1611,506
"Business As Usual",1441,13973,968,4260,4394,808,8982,1501,863
"Business As Usual",1400,14057,977,4338,4474,773,9199,1331,746
"Business As Usual",1324,13956,983,4773,4591,851,7388,1597,558
"Business As Usual",1323,14002,1123,4436,4192,934,7112,1793,820
"Business As Usual",1293,14047,966,4238,4660,1035,8371,1424,546
"Business As Usual",1398,16958,1094,4261,3973,807,7619,1508,728
"Business As Usual",1165,12959,1073,4376,4717,933,7225,1575,765
"Business As Usual",1150,13247,1064,4441,3958,750,8471,1526,534
"Business As Usual",1072,14043,909,5337,4660,1003,6683,1610,636
"Business As Usual",1252,17140,972,4983,3925,1057,7391,1592,703
"Business As Usual",1249,15418,955,4071,5020,1065,7010,1460,711
"Business As Usual",1291,14083,939,4405,4514,981,7762,1764,643
"Business As Usual",1360,12913,1006,4736,3639,826,7174,1490,756
"Business As Usual",1081,13499,1022,4274,4502,993,6505,1702,538
"Business As Usual",1364,15189,1045,4197,4570,977,7145,1633,718
"Business As Usual",1298,13266,1021,4043,4572,795,7023,1474,800
"Business As Usual",1201,13004,964,3839,4576,1001,7475,1589,744
"Business As Usual",1540,13100,1015,4304,3539,834,7876,1215,598
"Business As Usual",1237,13687,980,5462,4321,686,6921,1615,658
"Business As Usual",1118,16890,941,4298,4221,868,6858,1681,726
"Business As Usual",1133,15568,1040,4277,4598,1029,8923,1380,862
"Business As Usual",1029,14150,876,3824,4585,1080,6663,1389,808
"Business As Usual",1199,16097,1097,5127,5292,960,8041,1608,582
"Business As Usual",1467,17809,1045,3798,4775,984,7604,1401,657
"Business As Usual",1233,15530,937,5152,5234,530,7269,1463,704
"Business As Usual",1415,12444,1044,5117,4803,824,6307,1780,718
"Business As Usual",1066,15371,1053,5120,3947,751,7333,1393,671
"Business As Usual",1484,16113,1001,3979,4924,1109,6650,1753,664
"Business As Usual",1400,15087,1082,4926,4388,1058,5926,1843,682
"Business As Usual",1008,16041,896,5040,4804,898,7511,1619,564
"Business As Usual",1194,15758,1131,4499,4449,785,6692,1590,625
"Business As Usual",1307,15564,1099,4125,4381,723,8151,1423,702
"Business As Usual",1327,13055,977,3936,4510,834,8301,1637,712
"Business As Usual",1296,13092,931,5488,4738,980,8093,1638,726
"Business As Usual",1160,13712,949,4256,3986,844,7354,1555,685
"Business As Usual",1303,17309,1047,4770,4527,903,7583,1723,559
"Business As Usual",1436,13872,1008,4973,4835,769,6314,1479,726
"Business As Usual",1150,15557,959,4569,4865,730,6912,1342,659
"Business As Usual",1159,14113,991,5029,5013,938,5256,1679,807
"Business As Usual",1296,15654,1012,4332,5501,1039,8406,1367,589
"Business As Usual",1328,15171,970,4732,4863,894,6605,1522,745
"Business As Usual",1130,16543,969,4226,4139,886,6813,1578,534
"Business As Usual",1312,14893,972,5204,4289,1010,6158,1541,569
"Business As Usual",1179,15870,1004,4881,4464,887,6273,1551,628
"Business As Usual",1279,15864,1028,5309,4038,918,6416,1619,832
"Business As Usual",1098,15537,1057,3787,4878,944,6246,1573,683
"Business As Usual",1367,13846,1006,4909,5326,840,8274,1451,769
"Business As Usual",1063,15464,977,4528,4753,888,6342,1181,603
"Business As Usual",1224,13995,918,3727,5091,775,6448,1712,824
"Business As Usual",1456,15784,1105,3440,4667,661,7087,1664,645
"Business As Usual",1181,15227,989,4927,3754,860,6344,1793,712
